dir_path	before	after
C:\Users\works\yet\IC	Isekai Maou to Shoukan Shoujo no Dorei Majutsu Episode 6  Watch anime online, English anime online.mp4	Isekai Maou to Shoukan Shoujo no Dorei Majutsu_#06_Eng.mp4
C:\Users\works\yet\IC	Isekai Maou to Shoukan Shoujo no Dorei Majutsu Episode 7  Watch anime online, English anime online.mp4	Isekai Maou to Shoukan Shoujo no Dorei Majutsu_#07_Eng.mp4
C:\Users\works\yet\IC	Isekai Maou to Shoukan Shoujo no Dorei Majutsu Episode 8  Watch anime online, English anime online.mp4	Isekai Maou to Shoukan Shoujo no Dorei Majutsu_#08_Eng.mp4
C:\Users\works\yet\IC	Isekai Maou to Shoukan Shoujo no Dorei Majutsu Episode 9  Watch anime online, English anime online.mp4	Isekai Maou to Shoukan Shoujo no Dorei Majutsu_#09_Eng.mp4
C:\Users\works\yet\IC	Mary to Majo no Hana Movie  Watch anime online, English anime online(1).mp4	Mary to Majo no Hana Movie_Eng.mp4
C:\Users\works\yet\IC	Shikioriori Movie  Watch anime online, English anime online(1).mp4	Shikioriori Movie_Eng.mp4
C:\Users\works\yet\IC	Boku no Hero Academia 3rd Season Episode 21  Watch anime online, English anime online.mp4	Boku no Hero Academia 3rd Season_#21_Eng.mp4
C:\Users\works\yet\IC	Boku no Hero Academia 3rd Season Episode 22 Watch anime onli(1).mp4	Boku no Hero Academia 3rd Season_#22 Watch anime onli(1).mp4
C:\Users\works\yet\IC	Boku no Hero Academia 3rd Season Episode 22 Watch anime onli.mp4	Boku no Hero Academia 3rd Season_#22 Watch anime onli.mp4
C:\Users\works\yet\IC	Gochuumon wa Usagi desu ka Dear My Sister Movie  Watch anime online, English anime online(2).mp4	Gochuumon wa Usagi desu ka Dear My Sister Movie_Eng.mp4
C:\Users\works\yet\IC	Happy Sugar Life Episode 1  Watch anime online, English anime online.mp4	Happy Sugar Life_#01_Eng.mp4
C:\Users\works\yet\IC	Happy Sugar Life Episode 2  Watch anime online, English anime online.mp4	Happy Sugar Life_#02_Eng.mp4
C:\Users\works\yet\IC	Happy Sugar Life Episode 3  Watch anime online, English anime online.mp4	Happy Sugar Life_#03_Eng.mp4
C:\Users\works\yet\IC	Happy Sugar Life Episode 4  Watch anime online, English anime online.mp4	Happy Sugar Life_#04_Eng.mp4
C:\Users\works\yet\IC	Happy Sugar Life Episode 5  Watch anime online, English anime online.mp4	Happy Sugar Life_#05_Eng.mp4
C:\Users\works\yet\IC	Happy Sugar Life Episode 6  Watch anime online, English anime online.mp4	Happy Sugar Life_#06_Eng.mp4
C:\Users\works\yet\IC	Happy Sugar Life Episode 7  Watch anime online, English anime online.mp4	Happy Sugar Life_#07_Eng.mp4
C:\Users\works\yet\IC	Happy Sugar Life Episode 8  Watch anime online, English anime online.mp4	Happy Sugar Life_#08_Eng.mp4
C:\Users\works\yet\IC	Happy Sugar Life Episode 9  Watch anime online, English anime online.mp4	Happy Sugar Life_#09_Eng.mp4
C:\Users\works\yet\IC	Harukana Receive Episode 10  Watch anime online, English anime online.mp4	Harukana Receive_#10_Eng.mp4
C:\Users\works\yet\IC	Hataraku Saibou (TV) Episode 10  Watch anime online, English anime online.mp4	Hataraku Saibou (TV)_#10_Eng.mp4
C:\Users\works\yet\IC	Hataraku Saibou (TV) Episode 4  Watch anime online, English anime online.mp4	Hataraku Saibou (TV)_#04_Eng.mp4
C:\Users\works\yet\IC	Hataraku Saibou (TV) Episode 5  Watch anime online, English anime online.mp4	Hataraku Saibou (TV)_#05_Eng.mp4
C:\Users\works\yet\IC	Hataraku Saibou (TV) Episode 6  Watch anime online, English anime online.mp4	Hataraku Saibou (TV)_#06_Eng.mp4
C:\Users\works\yet\IC	Hataraku Saibou (TV) Episode 7  Watch anime online, English anime online.mp4	Hataraku Saibou (TV)_#07_Eng.mp4
C:\Users\works\yet\IC	Hataraku Saibou (TV) Episode 8  Watch anime online, English anime online.mp4	Hataraku Saibou (TV)_#08_Eng.mp4
C:\Users\works\yet\IC	Hataraku Saibou (TV) Episode 9  Watch anime online, English anime online.mp4	Hataraku Saibou (TV)_#09_Eng.mp4
C:\Users\works\yet\IC	Isekai Maou to Shoukan Shoujo no Dorei Majutsu Episode 1  Watch anime online, English anime online.mp4	Isekai Maou to Shoukan Shoujo no Dorei Majutsu_#01_Eng.mp4
C:\Users\works\yet\IC	Isekai Maou to Shoukan Shoujo no Dorei Majutsu Episode 10  Watch anime online, English anime online.mp4	Isekai Maou to Shoukan Shoujo no Dorei Majutsu_#10_Eng.mp4
C:\Users\works\yet\IC	Isekai Maou to Shoukan Shoujo no Dorei Majutsu Episode 2  Watch anime online, English anime online.mp4	Isekai Maou to Shoukan Shoujo no Dorei Majutsu_#02_Eng.mp4
C:\Users\works\yet\IC	Isekai Maou to Shoukan Shoujo no Dorei Majutsu Episode 4  Watch anime online, English anime online.mp4	Isekai Maou to Shoukan Shoujo no Dorei Majutsu_#04_Eng.mp4
C:\Users\works\yet\IC	Isekai Maou to Shoukan Shoujo no Dorei Majutsu Episode 5  Watch anime online, English anime online.mp4	Isekai Maou to Shoukan Shoujo no Dorei Majutsu_#05_Eng.mp4
